scope,house_a,house_b,origin_a,origin_b,both_emigre,same_origin_group,weight,shared_days
all_crises,Anglo South American Bank,C. J. Hambro & Son,Colonial / Imperial bank,Emigre: German & Central European,False,False,0.305887645160749,8
all_crises,Anglo South American Bank,King & Foa,Colonial / Imperial bank,Emigre: Greek & Levantine,False,False,0.3893957789726338,11
all_crises,Anglo South American Bank,"Reeves, Whitburn & Co",Colonial / Imperial bank,British: private / merchant (native),False,False,0.3769685174625259,9
all_crises,Anglo South American Bank,Samuel Montagu & Co,Colonial / Imperial bank,Emigre: German & Central European,False,False,0.3244428422615251,8
all_crises,Anglo South American Bank,"Smith, St Aubyn & Co",Colonial / Imperial bank,British: discount house,False,False,0.35410026391408517,9
all_crises,Anglo South American Bank,White & Shaxson,Colonial / Imperial bank,British: discount house,False,False,0.30779350562554625,6
all_crises,Anglo South American Bank,Eastern Bank,Colonial / Imperial bank,Colonial / Imperial bank,False,True,0.44020438924006666,9
all_crises,Anglo South American Bank,Mercantile Bank of India,Colonial / Imperial bank,Colonial / Imperial bank,False,True,0.4146442144313646,7
all_crises,Anglo South American Bank,Ryder & Co,Colonial / Imperial bank,British: discount house,False,False,0.3554093266554554,6
all_crises,Anglo South American Bank,"Daniell, Cazenove & Co",Colonial / Imperial bank,British: private / merchant (native),False,False,0.39735970711951313,9
all_crises,Anglo South American Bank,National Bank of India,Colonial / Imperial bank,Colonial / Imperial bank,False,True,0.32118202741878643,7
all_crises,Anglo South American Bank,Union Discount Co. of London,Colonial / Imperial bank,British: discount house,False,False,0.4525885718428285,12
all_crises,Anglo South American Bank,Parr's Bank,Colonial / Imperial bank,British: clearing / joint-stock bank,False,False,0.34210526315789475,13
all_crises,Anglo South American Bank,Union Bank of Australia,Colonial / Imperial bank,Colonial / Imperial bank,False,True,0.346843987809648,4
all_crises,Anglo South American Bank,National Bank of Scotland,Colonial / Imperial bank,British: clearing / joint-stock bank,False,False,0.30037570459305535,6
all_crises,B. Simon & A. Jacoby,"Bordier, Fabris & Co",Emigre: German & Central European,Emigre: German & Central European,True,True,0.34299717028501764,4
all_crises,B. Simon & A. Jacoby,George Peabody & Co,Emigre: German & Central European,Emigre: American,True,False,0.3061862178478973,3
all_crises,B. Simon & A. Jacoby,Kraeutler & Mieville,Emigre: German & Central European,Emigre: German & Central European,True,True,0.3922322702763681,4
all_crises,B. Simon & A. Jacoby,M. Levin & Adler,Emigre: German & Central European,Emigre: German & Central European,True,True,0.44194173824159216,5
all_crises,B. Simon & A. Jacoby,"R. Heine, Semon & Co",Emigre: German & Central European,Emigre: German & Central European,True,True,0.30151134457776363,4
all_crises,B. W. Blydenstein & Co,"Baker, Duncombe & Co",Emigre: German & Central European,British: private / merchant (native),False,False,0.4775669329409193,13
all_crises,B. W. Blydenstein & Co,Brightwen & Co,Emigre: German & Central European,British: private / merchant (native),False,False,0.5157158087305063,23
all_crises,B. W. Blydenstein & Co,C. J. Hambro & Son,Emigre: German & Central European,Emigre: German & Central European,True,True,0.3736323588785367,14
all_crises,B. W. Blydenstein & Co,King & Foa,Emigre: German & Central European,Emigre: Greek & Levantine,True,False,0.5682911427735109,23
all_crises,B. W. Blydenstein & Co,"Reeves, Whitburn & Co",Emigre: German & Central European,British: private / merchant (native),False,False,0.4677642769637489,16
all_crises,B. W. Blydenstein & Co,Samuel Montagu & Co,Emigre: German & Central European,Emigre: German & Central European,True,True,0.3113761843897638,11
all_crises,B. W. Blydenstein & Co,"Smith, St Aubyn & Co",Emigre: German & Central European,British: discount house,False,False,0.3844645254667628,14
all_crises,B. W. Blydenstein & Co,White & Shaxson,Emigre: German & Central European,British: discount house,False,False,0.3222516933177448,9
